"Fiscal Year","Employer","Initial Approvals","Initial Denials","Continuing Approvals","Continuing Denials","NAICS","Tax ID","State","City","ZIP"
"2020","AMTRUST FINANCIAL SERVICES INC","0","1","0","0","52","","NY","NEW YORK","10038"
"2020","OERLIKON METCO US INC","0","0","1","0","33","","NY","WESTBURY","11590"
"2020","DATA SYSTEMS INTEGRATED GROUP INC","0","0","1","0","54","","OH","DUBLIN","43017"
"2020","TRIDENT HOSPITALITY INC","0","1","0","0","72","","OH","MEDINA","44256"
"2020","UNIV OF OKLAHOMA HLTH SCIENCES CTR","1","0","0","0","61","","OK","OKLAHOMA CITY","73104"
"2020","AZEVTEC INC","0","0","1","0","33","","OR","BEND","97702"
"2020","UNITED CPAS & CO LLC","1","0","0","0","54","","OR","PORTLAND","97266"
"2020","PRAMUKH KRUPA REAL EST HOLDINGS CO","0","0","1","0","53","","PA","BENSALEM","19020"
"2020","TRINITY VALLEY COMMUNITY COLLEGE","0","1","0","0","61","","TX","ATHENS","75751"
"2020","STEWARD TEXAS HOSPITAL HOLDINGS LL","0","0","1","0","62","","TX","BIG SPRING","79720"
"2020","THEMATHCOMPANY INC","0","0","1","0","54","","TX","CEDAR HILL","75104"
"2020","TRANSNATIONAL SOFTWARE SERVICES","0","0","1","0","54","","TX","DALLAS","75234"
"2020","KODDI INC","0","0","1","0","54","","TX","FORT WORTH","76107"
"2020","DATA DYNAMICS INC","0","0","1","0","54","","TX","HOUSTON","77042"
"2020","ROSITA HAMIDI DENTAL PROFESSIONAL","0","0","1","0","62","","TX","HOUSTON","77043"
"2020","NUMERO SOLUTIONS INC","0","0","1","0","54","","TX","IRVING","75039"
"2020","KEYMOUZ TECHNOLOGIES","0","0","0","1","54","","TX","KATY","77450"
"2020","FEDSCALE INC","0","0","1","0","54","","VA","LURAY","22835"
"2020","TMEIC CORPORATION","0","0","1","0","33","","VA","ROANOKE","24018"
"2020","COMMUNITY HLTH ASSN OF SPOKANE","0","0","1","0","62","","WA","SPOKANE","99201"
"2020","FOLEY LARDNER LLP","0","0","1","0","99","","WI","MILWAUKEE","53202"
"2020","L L BEAN INC","0","0","2","0","44","6590","ME","FREEPORT","04033"
"2020","TD BANK, NATIONAL ASSOCIATION","0","0","1","1","52","7770","NJ","MOUNT LAUREL","08054"
"2020","COLBY COLLEGE","0","0","1","0","61","1497","ME","WATERVILLE","04901"
"2020","FRYEBURG ACADEMY DBA THE TRUSTEES","1","0","0","0","61","1505","ME","FRYEBURG","04037"
"2020","THE JACKSON LABORATORY","3","1","8","0","54","1513","ME","BAR HARBOR","04609"
"2020","UNIVERSITY OF NEW ENGLAND","0","0","1","0","61","1810","ME","BIDDEFORD","04005"
"2020","UNIVERSITY OF NEW ENGLAND","2","0","0","0","61","1810","ME","PORTLAND","04103"
"2020","BOWDOIN COLLEGE","1","0","0","0","61","5213","ME","BRUNSWICK","04011"
"2020","JOHN HANCOCK LIFE INSURANCE CO USA","1","0","10","0","52","3346","MA","BOSTON","02116"
"2020","HARRIMAN ASSOCIATES","0","0","1","0","54","4348","ME","AUBURN","04210"
"2020","MCCAIN FOODS USA INC","0","0","1","0","31","8597","IL","OAKBROOK TERRACE","60181"
"2020","PENOBSCOT RESPIRATORY","0","0","1","0","62","7467","ME","BANGOR","04401"
"2020","IDEXX LABORATORIES INC","1","0","2","0","54","3723","ME","WESTBROOK","04092"
"2020","BLUE MARBLE GROUP INC","1","0","0","0","51","1802","ME","HALLOWELL","04347"
"2020","TRC ENGINEERS LLC","0","0","2","0","54","6475","ME","AUGUSTA","04330"
"2020","WEX INC","0","0","1","0","52","6993","ME","PORTLAND","04101"
"2020","WINXNET LLC DBA LOGICALLY","0","0","0","1","54","8399","ME","PORTLAND","04104"
"2020","MOUNTAIN STATES ROSEN LLC","0","0","1","0","31","8080","NY","BRONX","10474"
"2020","WOOD GROUP USA INC","0","0","3","1","54","1791","TX","HOUSTON","77084"
"2020","EVERCORE PARTNERS SVCS EAST LLC","0","0","3","0","52","2543","NY","NEW YORK","10055"
"2020","BROOKS SCARPA ARCHITECTS INC","1","0","0","0","54","2842","CA","HAWTHORNE","90250"
"2020","ARUN MISHRA P C","1","0","0","0","54","9575","NY","NEW YORK","10001"
"2020","HRSOFT USA INC","2","0","0","0","54","0270","FL","MAITLAND","32751"
"2020","WOOD MACKENZIE INC","2","0","0","1","54","4533","TX","HOUSTON","77057"
"2020","HITACHI HIGH TECHNOLOGIES AMERICA","0","0","1","0","54","9971","IL","SCHAUMBURG","60173"
"2020","CUSTOMER VALUE PARTNERS INC","0","0","1","0","54","0597","VA","FAIRFAX","22030"
"2020","DIGITAS INC","0","0","1","0","54","2286","MA","BOSTON","02109"
"2020","THE AKSHAYA PATRA FOUNDATION USA","1","0","0","0","62","4950","CA","CANOGA PARK","91303"
"2020","GLOBAL FORCE USA INC","1","0","0","0","54","9993","TX","HOUSTON","77074"
"2020","LEAF FERREIRA DE ARAUJO LLC","1","0","0","0","54","6073","FL","MIAMI","33131"
"2020","ENERGY RECOVERY INC","1","0","0","0","33","6867","CA","SAN LEANDRO","94577"
"2020","TECHNICAL STRATEGIES INC","1","2","6","0","54","8930","VA","CHANTILLY","20151"
"2020","GLOBAL CONDUCTOR INC","0","0","1","0","54","6809","CA","WESTMINSTER","92683"
"2020","MADISON INTERNATIONAL REALTY LLC","0","0","1","0","52","6840","NY","NEW YORK","10022"
"2020","GRANDSTREAM NETWORKS INC","0","0","1","0","33","8916","MA","BOSTON","02215"
"2020","ALERT LOGIC INC","1","0","0","0","54","3750","TX","HOUSTON","77056"
"2020","PAYA INC","0","0","1","0","52","5536","GA","ATLANTA","30346"
"2020","HURON CONSULTING SERVICES LLC","3","1","8","0","54","6453","IL","CHICAGO","60607"
"2020","CHF INDUSTRIES INC","0","0","1","0","31","1659","NC","CHARLOTTE","28217"
"2020","TEKVIZION PVS INC","0","0","1","0","99","4395","TX","PLANO","75075"
"2020","AGELOFF & ASSOC ARCHITECTS PLLC","1","0","0","0","54","5881","NY","NEW YORK","10010"
"2020","NGI INC","0","0","1","0","54","7150","TX","HOUSTON","77043"
"2020","OXYGEN DEVELOPMENT LLC","3","0","0","0","32","5094","FL","MIAMI","33131"
"2020","OXYGEN DEVELOPMENT LLC","0","0","1","0","32","5094","FL","PALM SPRINGS","33406"
"2020","OXYGEN DEVELOPMENT LLC","0","0","1","0","32","5094","FL","WEST PALM BEACH","33406"
"2020","TERATHINK CORPORATION","0","0","1","1","54","7106","VA","RESTON","20190"
"2020","DELASOFT INC","1","0","10","1","54","2358","DE","NEW CASTLE","19720"
"2020","JEFFERIES INVESTMENT ADVISERS LLC","0","1","0","0","52","4452","NY","NEW YORK","10022"
"2020","ARMO CONSULTANTS LLC","2","0","8","1","54","7102","NJ","PARSIPPANY","07054"
"2020","RELIAS LLC","0","0","1","0","99","0157","NC","RALEIGH","27650"
"2020","INNOVATIONS USA INC","0","0","1","0","42","4201","NJ","CLIFTON","07011"
"2020","SHIVAM INFOTECH INC","1","0","2","0","54","0867","NJ","KENDALL PARK","08824"
"2020","MFXCHANGE US INC","0","0","1","0","54","8234","NJ","BRIDGEWATER","08807"
"2020","RIVERWALK EDUCATION FOUNDATION INC","0","0","2","0","61","8906","TX","SAN ANTONIO","78209"
"2020","CASAMBA INC","0","0","1","0","54","3247","CA","AGOURA HILLS","91301"
"2020","UCERTIFY LLC","0","0","1","0","54","3207","CA","LIVERMORE","94551"
"2020","IPLANNER INC","0","0","1","0","54","2992","TX","DALLAS","75240"
"2020","MMR RESEARCH WORLDWIDE INC","0","0","1","0","54","8273","NY","NEW YORK","10001"
"2020","INVENSENSE INC","2","0","0","0","33","9977","CA","SAN JOSE","95110"
"2020","INTERFYSIO LLC","0","0","2","0","62","4134","NY","NEW YORK","10105"
"2020","CENTERPOINT ENERGY SERVICE COMPANY","0","0","1","0","22","1509","TX","HOUSTON","77002"
"2020","SARGA SOLUTIONS INC","0","0","2","0","54","3037","VA","HERNDON","20170"
"2020","DELIGHT CONSULTING SERVICES LLC","0","0","1","0","54","3986","MI","ROCHESTER","48307"
"2020","WOOD GROUP PSN INC","0","0","1","0","54","6812","TX","HOUSTON","77094"
"2020","COVANT SOLUTIONS INC","0","0","5","1","54","8309","DE","NEWARK","19713"
"2020","360 DEGREE CUSTOMER INC","0","0","2","0","62","2463","CA","SANTA CLARA","95054"
"2020","JW NUTRITIONAL LLC","1","0","0","0","32","2836","TX","ALLEN","75013"
"2020","EPIC SYSTEMS INC","1","0","0","0","54","8231","VA","ALDIE","20105"
"2020","EPIC SYSTEMS INC","1","0","5","0","54","8231","VA","HERNDON","20170"
"2020","REVEREIT LLC","2","0","5","0","54","2135","VA","STERLING","20164"
"2020","TERSO SOLUTIONS INC","0","0","0","1","33","5364","WI","MADISON","53711"
"2020","RECURSION GRP INC","0","0","0","1","54","6970","IL","SCHAUMBURG","60173"
"2020","CELER SYSTEMS INC","4","0","5","0","54","2920","CA","FOLSOM","95630"
"2020","PEOPLECORP AMERICA INC","0","0","1","0","54","4272","VA","STAFFORD","22554"
"2020","SMART DATA SYSTEMS LLC","0","1","0","0","54","9768","OH","MIAMISBURG","45342"
"2020","GENZYME THERAPEUTIC PRODS LTD PART","0","0","4","0","32","2078","MA","CAMBRIDGE","02142"
"2020","HEARTLAND DENTAL LLC","0","0","1","0","62","4205","IL","EFFINGHAM","62401"
"2020","LURACO INC","0","0","0","1","54","0118","TX","ARLINGTON","76011"
"2020","ROSS INSTITUTE DBA THE ROSS SCHOOL","0","1","0","0","61","0911","NY","EAST HAMPTON","11937"
"2020","MICRO FOCUS LLC","3","0","3","0","54","6088","CA","NORTH HIGHLANDS","95660"
"2020","MICRO FOCUS LLC","0","0","2","0","54","6088","CA","SANTA CLARA","95054"
"2020","NATERA INC","4","0","3","0","54","4487","CA","SAN CARLOS","94070"
"2020","SOLGENIE TECHNOLOGIES INC","0","0","0","2","54","0380","GA","NORCROSS","30092"
"2020","SOLGENIE TECHNOLOGIES INC","1","1","1","0","54","0380","GA","PEACHTREE CORNERS","30092"
"2020","QUANTALRF INC","0","0","1","0","33","9261","CA","SAN DIEGO","92121"
"2020","BLUEBIRD MEDICAL ENTERPRISE LLC DB","1","0","0","0","62","5530","TX","GEORGETOWN","78627"
"2020","LAKESIDE CENTER FOR AUTISM LLC","0","0","1","0","62","7541","WA","BELLEVUE","98006"
"2020","BIZTECH SOLUTIONS INC","0","0","2","0","54","7832","TX","SPRING","77380"
"2020","DECISION TREE CONSULTING LLC","0","0","1","0","54","8133","OK","OKLAHOMA CITY","73118"
"2020","DECISION TREE CONSULTING LLC","0","0","1","0","54","8133","OK","TULSA","74136"
"2020","ALIRA HEALTH BOSTON LLC","1","0","0","0","54","3936","MA","FRAMINGHAM","01702"
"2020","GLOBAL SAFETY TEXTILES LLC","0","0","1","0","31","8087","VA","SOUTH HILL","23970"
"2020","MICROSAN CONSULTANCY SERVICES LLC","0","0","2","0","54","6947","CA","FOLSOM","95630"
"2020","AVERMEDIA TECHNOLOGIES INC","0","0","1","0","33","1161","CA","FREMONT","94538"
"2020","4I APPS SOLUTIONS LLC","1","0","0","0","54","6995","MD","GERMANTOWN","20876"
"2020","SRINAV INC","0","0","1","0","54","7686","CA","FREMONT","94536"
"2020","ACCOLADE INC","1","0","1","0","62","9591","PA","PLYMOUTH MEETING","19462"
"2020","DORAN JONES INC","0","0","3","0","54","3970","NY","NEW YORK","10022"
"2020","EMETEORS INC","0","0","3","2","54","6538","NJ","MONTVILLE","07045"
"2020","UNIVERSITY OF SOUTHERN MAINE","1","0","1","0","61","0769","ME","ORONO","04469"
"2020","UNIVERSITY OF SOUTHERN MAINE","0","0","1","0","61","0769","ME","PORTLAND","04101"
"2020","UNIVERSITY OF SOUTHERN MAINE","0","0","1","0","61","0769","ME","PORTLAND","04102"
"2020","NGM INSURANCE COMPANY","0","0","3","0","52","0490","FL","JACKSONVILLE","32246"
"2020","DARTMOUTH COLLEGE","4","0","5","0","61","2111","NH","HANOVER","03755"
"2020","MARY HITCHCOCK MEMORIAL HOSP","0","0","1","0","62","2140","NH","LEBANON","03756"
"2020","FRANKLIN PIERCE UNIV","1","0","0","0","61","3136","NH","RINDGE","03461"
"2020","HYPERTHERM INC","0","0","1","0","33","4267","NH","HANOVER","03755"
"2020","SOUTHERN NEW HAMPSHIRE UNIV","1","0","0","0","61","4509","NH","MANCHESTER","03101"
"2020","AIG TECHNOLOGIES INC","0","0","1","0","52","7338","NY","NEW YORK","10038"
"2020","ASPECT SOFTWARE INC","0","0","1","0","99","4368","MA","WESTFORD","01886"
"2020","ICAD INC","0","0","1","0","51","7419","NH","NASHUA","03062"
"2020","DIGITAL MASTERS INC","1","1","3","2","54","1367","KS","OVERLAND PARK","66210"
"2020","INSTR LABORATORY COMPANY","1","0","0","0","42","8199","MA","BEDFORD","01730"
"2020","CATHOLIC MED CTR PHYSICIAN PRACTIC","0","0","1","0","62","0245","NH","MANCHESTER","03102"
"2020","LONZA BIOLOGICS INC","1","0","0","1","99","2009","NH","PORTSMOUTH","03801"
"2020","PSI WATER SYSS INC DBA ENCON EVAPO","0","0","1","0","33","9632","NH","HOOKSETT","03106"
"2020","K&E CAMP CORPORATION","0","0","1","0","92","9015","MA","SHARON","02067"
"2020","FUJIFILM DIMATIX INC","0","0","2","0","32","9402","CA","SANTA CLARA","95050"
"2020","DEEBECON INC","0","2","4","1","54","0052","NH","NASHUA","03062"
"2020","HIGHDATA SOFTWARE CORPORATION","0","0","5","0","54","5484","NH","SALEM","03079"
"2020","WENTWORTH DOUGLASS PHYSICIAN CORPW","0","0","2","0","62","7927","NH","DOVER","03820"
"2020","COVIDIEN LP","0","0","1","0","33","2162","MN","FRIDLEY","55432"
"2020","COVIDIEN LP","2","0","13","1","33","2162","MN","MINNEAPOLIS","55432"
"2020","RIVERSTONE RESOURCES LLC","3","0","0","0","52","1580","NH","MANCHESTER","03101"
"2020","PC CONNECTION INC DBA CONNECTION","0","0","2","0","42","3618","NH","MERRIMACK","03054"
"2020","C SQUARED SYSTEMS LLC","1","0","0","0","54","6622","NH","AUBURN","03032"
"2020","SEGWAY INC","0","0","0","1","33","8878","NH","BEDFORD","03110"
"2020","S R INTERNATIONAL INC","0","1","1","0","54","1480","IL","NAPERVILLE","60564"
"2020","REDI2 TECHNOLOGIES INC","0","0","1","0","54","5952","MA","BOSTON","02110"
"2020","STEALTHBITS TECHNOLOGIES INC","0","0","1","0","51","0098","NJ","HAWTHORNE","07506"
"2020","TANISHA SYSTEMS INC","8","2","8","1","54","9348","NJ","ISELIN","08830"
"2020","TANISHA SYSTEMS INC","0","0","1","0","54","9348","NY","NEW YORK","10118"
"2020","CK TECHNOLOGIES LLC","0","0","0","1","32","0746","NC","MOUNT AIRY","27030"
"2020","CARSON TAHOE PHYSICIAN CLINICS DBA","0","0","1","0","62","6741","NV","CARSON CITY","89703"
"2020","NOVARTIS INSTITUTES FOR BIOMEDICAL","3","1","6","0","54","7016","NJ","EAST HANOVER","07936"
"2020","MCCARTON FND FOR DEVELOPMENTAL DIS","1","0","0","0","62","8114","NY","BRONX","10460"
"2020","EDI MEDIA INC","1","0","1","0","54","9404","CA","WEST COVINA","91790"
"2020","EXPERSOLVE INC","1","0","0","0","54","9711","NY","TARRYTOWN","10591"
"2020","FX DIRECT DEALER LLC","0","0","1","0","52","3635","NJ","JERSEY CITY","07310"
"2020","PP CONSULTING LLC","0","1","0","0","54","8027","CT","ROCKY HILL","06067"
"2020","STRASSBURGER MEATS LLC","0","0","1","0","31","9415","NJ","CARLSTADT","07072"
"2020","STRATIGENT LLC","0","1","0","0","54","3642","IL","CHICAGO","60602"
"2020","BHRIGUS INC","0","0","1","0","54","5017","MI","FARMINGTN HLS","48335"
"2020","BHRIGUS INC","0","0","3","0","54","5017","MI","FARMINGTON","48335"
"2020","BHRIGUS INC","0","0","3","0","54","5017","MI","FARMINGTON HILLS","48335"
"2020","BHRIGUS INC","0","0","2","0","54","5017","NJ","HILLSBOROUGH","08844"
"2020","BHRIGUS INC","4","1","1","2","54","5017","NJ","SOMERSET","08873"
"2020","MVP CONSULTING PLUS INC","1","0","0","0","54","0234","NY","ALBANY","12205"
"2020","ID ANALYTICS LLC","0","0","1","0","54","1839","CA","SAN DIEGO","92128"
"2020","3K TECHNOLOGIES LLC","2","2","2","1","54","4148","CA","MILPITAS","95035"
"2020","ARCHIMEDEAN ACADEMY INC D/B/A ARCH","0","0","2","0","61","7904","FL","MIAMI","33183"
"2020","CUSTOM ENGINEERING SOLUTIONS INC","1","0","0","0","23","2068","GA","ALPHARETTA","30005"
"2020","IHEARTMEDIA MANAGEMENT SERVICES","0","0","0","1","99","9566","NY","NEW YORK","10019"
"2020","CHINA TELECOM AMERICAS CORPORATION","0","0","2","0","23","5788","VA","HERNDON","20170"
"2020","CHINA TELECOM AMERICAS CORPORATION","4","4","1","0","51","5788","VA","HERNDON","20170"
"2020","EGENCIA LLC","0","0","2","0","99","9848","WA","BELLEVUE","98004"
"2020","EGENCIA LLC","0","0","3","0","99","9848","WA","SEATTLE","98119"
"2020","LATIN AMERICAN VENTURE CAPITAL ASS","0","1","0","0","52","8053","NY","NEW YORK","10018"
"2020","CAVISSON SYSTEMS INC","2","0","2","0","54","7773","CA","SANTA CLARA","95054"
"2020","XSCION SOLUTIONS LLC","0","0","1","0","54","0875","VA","MC LEAN","22102"
"2020","TATA COMMUNICATIONS INC","1","0","1","0","51","5544","NJ","MATAWAN","07747"
"2020","GP CONSULTING LLC","0","0","1","0","54","1485","VA","BURKE","22015"
"2020","INTEGRIDATA BUS & TECH SOLNS LLC","1","0","0","0","54","1574","NY","NEW YORK","10168"
"2020","JOYFUL MELODIES CORP","0","1","0","0","61","6594","CA","CUPERTINO","95014"
"2020","CHARLESTON DEVELOPMENT ACADEMY INC","1","0","0","0","61","9580","SC","CHARLESTON","29403"
"2020","SAMITI TECHNOLOGY INC","1","0","2","1","54","5114","NJ","EDISON","08820"
"2020","COMPLYRIGHT INC","1","0","0","0","54","9294","FL","POMPANO BEACH","33069"
"2020","SECOND SIGHT MEDICAL PRODUCTS INC","0","0","2","0","99","2322","CA","SYLMAR","91342"
"2020","CYBERTECH SYSTEMS AND SOFTWARE INC","0","1","1","0","54","4919","IL","OAK BROOK","60523"
"2020","THE LAW OFFS OF CHRISTELLE CLEMENT","1","0","0","0","54","6760","NY","NEW YORK","10004"
"2020","R1 RCM INC FKA ACCRETIVE HEALTH","0","0","2","0","54","8101","IL","CHICAGO","60611"
"2020","ARMAAN BIOTECH & IT CONSULTANTS IN","0","0","1","0","54","3811","PA","NAZARETH","18064"
"2020","SYNTHESIS ARCHITECTURE & PLANNING","1","0","0","0","54","5743","OH","CINCINNATI","45202"
"2020","SPACE METRICS INC","0","0","1","0","54","7122","DC","WASHINGTON","20024"
"2020","BEAM INTERACTIVE & RELATIONSHIP MA","0","1","0","0","54","8982","MA","BOSTON","02108"
"2020","FTI CONSULTING TECHNOLOGY LLC","0","0","1","0","54","6098","MD","BOWIE","20715"
"2020","CAMP SYSTEMS INTERNATIONAL INC","0","0","4","0","54","6525","NH","MERRIMACK","03054"
"2020","LOOKOUT INC","0","0","1","0","51","7613","CA","SAN FRANCISCO","94111"
"2020","MICROSCALE INC","0","1","0","0","99","0702","MA","WOBURN","01801"
"2020","INNOVATECH SOLUTIONS INC","0","1","2","1","54","6223","NJ","MONROE TOWNSHIP","08831"
"2020","STERLING 5 INC","0","0","13","1","54","5421","FL","BOCA RATON","33487"
"2020","SIGNS365 COM LLC","1","0","0","0","32","9550","MI","UTICA","48315"
"2020","XINGCHENG SPECIAL STEEL AMERICA IN","0","1","0","0","42","7667","TX","HOUSTON","77042"
"2020","ADD SOFTWARE LLC","1","0","0","0","54","1515","MI","AUBURN HILLS","48326"
"2020","THIRTHASOFT LLC","2","1","0","0","54","6890","GA","KENNESAW","30144"
"2020","HULU LLC","0","0","11","1","51","9769","CA","SANTA MONICA","90404"
"2020","UNIVERSITY OF NEW HAMPSHIRE","2","0","4","0","61","0937","NH","DURHAM","03824"
"2020","VIVID COSMOS GRANITE LLC DBA COSMO","0","1","0","0","42","9461","NC","CHARLOTTE","28273"
"2020","MICAN TECHNOLOGIES INC","0","0","1","0","54","6198","DE","BEAR","19701"
"2020","NATL LIFE INSUR CO DBA NATL LIFE G","1","0","0","0","52","4090","VT","MONTPELIER","05604"
"2020","PRESIDENT & FELLOWS OF MIDDLEBURY","6","0","0","0","61","9298","VT","MIDDLEBURY","05753"
"2020","THE UNIVERSITY OF VERMONT","1","0","0","0","61","9440","VT","BURLINGTON","05405"
"2020","WORLD LEARNING","0","0","1","0","92","9592","VT","BRATTLEBORO","05302"
"2020","UNIV OF VT HLTH NETWORK MED GRP IN","1","0","2","0","62","5105","VT","BURLINGTON","05401"
"2020","BLUE CROSS & BLUE SHIELD OF VERMON","0","0","1","0","52","7307","VT","MONTPELIER","05601"
"2020","BLUEGREEN VACATIONS CORPORATION","0","0","2","0","53","0793","FL","BOCA RATON","33431"
"2020","FLATIRONS SOLUTIONS INC","0","1","0","0","54","7413","CO","BOULDER","80301"
"2020","KEURIG GREEN MOUNTAIN INC","0","0","2","0","31","9228","MA","BURLINGTON","01803"
"2020","KEURIG GREEN MOUNTAIN INC","0","0","1","0","31","9228","TX","PLANO","75024"
"2020","BOMBARDIER MASS TRANSIT CORP","1","0","0","0","33","9631","NY","PLATTSBURGH","12901"
"2020","ASSOCIATES IN PERIODONTICS","1","0","0","0","62","3026","VT","SOUTH BURLINGTON","05403"
"2020","GE HEALTHCARE IITS USA CORP","0","0","12","0","33","3612","CT","NORWALK","06851"
"2020","GE HEALTHCARE IITS USA CORP","1","0","1","0","33","3612","WI","WAUKESHA","53188"
"2020","NSK STEERING SYSTEMS AMERICA INC","0","0","1","1","33","4162","MI","ANN ARBOR","48105"
"2020","3I PEOPLE INC","0","0","1","0","54","5372","GA","ALPHARETTA","30022"
"2020","INTL TECHNOLOGIES PRO LLC D/B/A IQ","0","0","3","4","54","7009","TX","HOUSTON","77046"
"2020","ABM WIRELESS INC DBA MOBILEISTIC","0","0","1","0","51","7532","NY","HAUPPAUGE","11788"
"2020","SOIMEX DENIMAGIC INC","0","1","0","0","54","6933","NJ","ALLENDALE","07401"
"2020","SOIMEX DENIMAGIC INC","1","0","0","0","54","6933","NJ","FAIR LAWN","07410"
"2020","ECHO STREET CAPITAL MANAGEMENT LLC","0","0","1","0","52","3526","NY","NEW YORK","10022"
"2020","DIVERSE LYNX LLC","0","0","1","0","54","3812","NJ","PRINCETON","08540"
"2020","THINKHR CORPORATION","1","0","0","0","54","4198","CA","PLEASANTON","94588"
"2020","MADIBA INC","0","0","2","0","54","4852","CA","IRVINE","92618"
"2020","BRE HOTELS & RESORTS LLC","0","0","1","0","54","5675","FL","BOCA RATON","33432"
"2020","ERM INFORMATIONS SOLUTIONS INC D/B","0","0","1","0","54","0446","TX","HOUSTON","77024"
"2020","ALBAN CONSTRUCTION LLC","0","1","0","0","23","0806","NJ","KENILWORTH","07033"
"2020","GUEFEN DEVELOPMENT COMPANY","0","0","0","1","61","9125","TX","HOUSTON","77027"
"2020","INNOVATIVE ENGINEERING SYSTEMS INC","1","0","0","0","54","3805","CA","BAKERSFIELD","93311"
"2020","NAVINTA LLC","0","0","1","0","32","7063","NJ","EWING","08618"
"2020","I4DM LLC","0","0","0","1","54","4072","MD","MILLERSVILLE","21108"
"2020","RIVERBED TECHNOLOGY INC","1","0","2","0","51","8754","CA","SAN FRANCISCO","94107"
"2020","RIVERBED TECHNOLOGY INC","0","0","2","0","54","8754","CA","SAN FRANCISCO","94107"
"2020","XPO LOGISTICS INC","1","0","4","0","54","0326","NC","CHARLOTTE","28277"
"2020","FCC LOGISTICS INC","2","0","0","0","48","6681","CA","COMPTON","90220"
"2020","FCC LOGISTICS INC","0","1","0","0","54","6681","CA","COMPTON","90220"
"2020","MALAYA SERVICES CORPORATION","1","0","0","0","54","8575","NY","GUILDERLAND","12084"
"2020","IMPERVA INC","2","0","3","0","54","0133","CA","REDWOOD CITY","94065"
"2020","DICORP INC","0","0","1","0","51","1223","MD","FOREST HILL","21050"
"2020","SCHLEMMER USA INC","0","0","1","0","42","7709","TX","SAN ANTONIO","78210"
"2020","SONOS INC","2","0","4","1","33","9476","CA","SANTA BARBARA","93101"
